Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982-83,NBA,PHO,53,29,2,,9,5,22,,82,18,13,16,5,12,14,4,13,16,5,13,17,8,21,8,13,3,11,8,12,8,16
1981-82,NBA,PHO,46,36,3,,11,6,15,,82,6,14,18,12,8,12,2,15,15,13,16,22,6,19,5,9,6,5,12,18,6,17
1980-81,NBA,PHO,57,25,1,,15,8,15,,82,17,6,8,9,11,12,14,7,10,8,10,8,15,8,6,4,6,2,13,22,8,7
1979-80,NBA,PHO,55,27,3,,10,16,15,,82,20,12,17,5,9,6,14,9,18,3,5,5,7,21,9,21,3,1,17,17,2,7
1978-79,NBA,PHO,50,32,2,,17,19,18,,82,6,3,11,2,,,,3,11,2,12,14,6,21,18,22,2,1,18,18,5,2
1977-78,NBA,PHO,49,33,2,,15,14,12,,82,15,5,3,9,,,,5,3,9,11,9,12,18,17,17,1,1,16,20,6,5
1976-77,NBA,PHO,34,48,5,,7,13,8,,82,15,18,19,10,,,,18,19,10,7,8,5,21,21,22,4,13,18,20,12,15
1975-76,NBA,PHO,42,40,3,,8,10,3,,82,2,12,17,4,,,,12,17,4,6,6,7,13,15,18,4,3,11,17,8,8
1974-75,NBA,PHO,32,50,4,,12,4,4,,82,6,12,7,14,,,,12,7,14,10,8,17,3,11,5,12,13,13,15,16,12
1973-74,NBA,PHO,30,52,4,,12,2,7,,82,6,9,9,8,,,,9,9,8,3,4,4,15,8,11,8,14,12,6,17,6
1972-73,NBA,PHO,38,44,3,,11,2,11,,82,7,11,6,11,,,,11,6,11,1,2,3,,,13,14,,,6,15,5
1971-72,NBA,PHO,49,33,3,,10,2,8,,82,1,4,7,7,,,,4,7,7,1,1,1,,,7,9,,,9,13,2
1970-71,NBA,PHO,48,34,3,,11,2,5,,82,5,12,9,13,,,,12,9,13,1,1,4,,,7,11,,,8,14,9
1969-70,NBA,PHO,39,43,4,,12,4,8,,82,7,9,13,5,,,,9,13,5,1,1,9,,,10,7,,,,11,3
1968-69,NBA,PHO,16,66,7,,14,10,7,,82,5,11,6,10,,,,11,6,10,6,7,11,,,11,8,,,,7,8
